ticket_id,created_at,customer_name,customer_segment,plan_type,arr_band,priority,status,channel,subject,description,product_area,sentiment,csat_score,first_response_hours,resolution_hours,bot_solvable_label
TCK-1159,2026-02-16,Northstar Analytics,Enterprise,Enterprise,$500K+,Medium,In Progress,Chat,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Billing,Positive,4,1.9,85.9,bot_solvable
TCK-1160,2026-01-26,Acme Finance,Enterprise,Enterprise,$500K+,Medium,Closed,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Core Platform,Negative,2,6.0,79.9,product_bug
TCK-1161,2026-02-11,Finchly,SMB,Starter,<$25K,Medium,Closed,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Billing,Positive,5,7.3,22.9,bot_solvable
TCK-1162,2026-03-02,Northstar Analytics,Enterprise,Enterprise,$500K+,Low,Closed,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Billing,Positive,5,2.3,23.9,bot_solvable
TCK-1163,2026-04-23,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Closed,Chat,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Billing,Positive,5,4.6,40.9,bot_solvable
TCK-1164,2026-02-05,LumaHR,Mid-Market,Pro,$50K-$100K,Medium,Open,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Automation,Positive,4,7.9,55.4,human_required
TCK-1165,2026-02-01,HarborCloud,Enterprise,Enterprise,$250K-$500K,Medium,Open,Chat,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Automation,Neutral,3,2.6,78.8,human_required
TCK-1166,2026-02-26,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Closed,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Analytics,Negative,2,3.9,38.4,product_bug
TCK-1167,2026-01-21,LumaHR,Mid-Market,Pro,$50K-$100K,Medium,In Progress,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Billing,Neutral,3,8.4,79.2,bot_solvable
TCK-1168,2026-03-15,BrightCart,Mid-Market,Growth,$100K-$250K,Medium,Closed,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Analytics,Neutral,3,6.9,47.4,product_bug
TCK-1169,2026-02-25,Acme Finance,Enterprise,Enterprise,$500K+,High,Closed,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Analytics,Neutral,3,1.2,26.8,product_bug
TCK-1170,2026-04-18,Acme Finance,Enterprise,Enterprise,$500K+,Medium,Open,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Analytics,Positive,4,5.5,8.8,product_bug
TCK-1171,2026-04-20,HarborCloud,Enterprise,Enterprise,$250K-$500K,Critical,Closed,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Analytics,Very Negative,1,5.2,22.6,product_bug
TCK-1172,2026-01-18,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Closed,Portal,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Product,Positive,4,0.6,34.3,feature_request
TCK-1173,2026-04-02,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Medium,In Progress,Portal,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Onboarding,Negative,2,7.0,69.3,bot_solvable
TCK-1174,2026-05-20,BrightCart,Mid-Market,Growth,$100K-$250K,High,Closed,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Analytics,Negative,2,7.5,65.6,product_bug
TCK-1175,2026-02-04,Summit Legal,Mid-Market,Pro,$50K-$100K,Critical,Closed,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Core Platform,Negative,2,0.5,19.0,product_bug
TCK-1176,2026-03-21,Northstar Analytics,Enterprise,Enterprise,$500K+,Medium,Closed,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Core Platform,Positive,4,2.4,66.2,product_bug
TCK-1177,2026-01-13,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Medium,In Progress,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Billing,Neutral,3,4.0,38.8,bot_solvable
TCK-1178,2026-02-17,Nimbus Retail,SMB,Pro,$25K-$50K,High,Closed,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Core Platform,Negative,2,8.3,52.9,product_bug
TCK-1179,2026-04-21,HarborCloud,Enterprise,Enterprise,$250K-$500K,Medium,Closed,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Billing,Neutral,3,1.1,30.0,bot_solvable
TCK-1180,2026-04-20,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Medium,Closed,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Billing,Neutral,3,4.1,65.7,bot_solvable
TCK-1181,2026-03-12,Finchly,SMB,Starter,<$25K,Medium,Open,Chat,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Product,Positive,4,3.4,71.1,feature_request
TCK-1182,2026-04-23,Northstar Analytics,Enterprise,Enterprise,$500K+,Critical,Open,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Analytics,Very Negative,1,7.1,39.1,product_bug
TCK-1183,2026-02-09,Finchly,SMB,Starter,<$25K,Medium,Escalated,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Analytics,Neutral,3,4.1,12.4,product_bug
TCK-1184,2026-03-22,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,In Progress,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Billing,Negative,2,0.4,17.7,bot_solvable
TCK-1185,2026-03-08,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,In Progress,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Analytics,Neutral,3,6.3,90.2,product_bug
TCK-1186,2026-01-19,Acme Finance,Enterprise,Enterprise,$500K+,Medium,Open,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Analytics,Positive,4,9.0,77.5,product_bug
TCK-1187,2026-01-17,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,Closed,Chat,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Billing,Neutral,3,6.5,84.5,bot_solvable
TCK-1188,2026-02-01,Cobalt Labs,Startup,Starter,<$25K,Critical,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The founder is asking whether there is a workaround. Account: Cobalt Labs.,Integrations,Very Negative,1,7.2,11.4,human_required
TCK-1189,2026-05-22,Atlas Security,Enterprise,Enterprise,$500K+,High,Closed,Slack Connect,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Automation,Very Negative,1,0.8,35.4,human_required
TCK-1190,2026-04-15,OrbitOps,Mid-Market,Growth,$100K-$250K,High,Open,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Billing,Negative,2,5.9,44.8,bot_solvable
TCK-1191,2026-05-22,BrightCart,Mid-Market,Growth,$100K-$250K,Medium,Closed,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Automation,Neutral,3,4.0,80.7,human_required
TCK-1192,2026-03-19,Acme Finance,Enterprise,Enterprise,$500K+,Critical,Open,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Integrations,Very Negative,1,3.2,82.4,human_required
TCK-1193,2026-05-22,Acme Finance,Enterprise,Enterprise,$500K+,High,Open,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Core Platform,Negative,2,5.6,15.3,product_bug
TCK-1194,2026-02-09,Finchly,SMB,Starter,<$25K,Medium,Closed,Email,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Product,Positive,5,3.2,81.0,feature_request
TCK-1195,2026-03-09,Northstar Analytics,Enterprise,Enterprise,$500K+,High,Closed,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Analytics,Neutral,3,5.6,10.1,product_bug
TCK-1196,2026-05-04,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,Closed,Email,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Product,Positive,4,2.8,10.8,feature_request
TCK-1197,2026-05-04,BrightCart,Mid-Market,Growth,$100K-$250K,Low,In Progress,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Billing,Positive,5,1.5,74.1,bot_solvable
TCK-1198,2026-03-30,HarborCloud,Enterprise,Enterprise,$250K-$500K,Low,Open,Chat,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Product,Positive,4,4.7,15.4,feature_request
TCK-1199,2026-04-26,Atlas Security,Enterprise,Enterprise,$500K+,High,Open,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Analytics,Very Negative,1,2.8,36.3,product_bug
TCK-1200,2026-02-10,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Escalated,Slack Connect,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Product,Positive,4,1.9,17.0,feature_request
TCK-1201,2026-05-08,Atlas Security,Enterprise,Enterprise,$500K+,High,Open,Chat,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Automation,Neutral,3,4.6,85.9,human_required
TCK-1202,2026-01-13,Finchly,SMB,Starter,<$25K,Medium,Closed,Email,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Billing,Positive,4,2.7,5.4,bot_solvable
TCK-1203,2026-03-09,Nimbus Retail,SMB,Pro,$25K-$50K,High,Closed,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Analytics,Negative,2,0.6,6.8,product_bug
TCK-1204,2026-01-19,Cobalt Labs,Startup,Starter,<$25K,High,Closed,Email,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The founder is asking whether there is a workaround. Account: Cobalt Labs.,Integrations,Positive,4,2.7,85.8,human_required
TCK-1205,2026-04-11,BrightCart,Mid-Market,Growth,$100K-$250K,Low,Closed,Chat,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Product,Positive,4,5.1,37.1,feature_request
TCK-1206,2026-04-13,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Open,Slack Connect,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Security,Neutral,3,1.4,30.7,bot_solvable
TCK-1207,2026-05-12,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,In Progress,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Billing,Positive,5,3.0,37.2,bot_solvable
TCK-1208,2026-05-11,Finchly,SMB,Starter,<$25K,Medium,Closed,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Core Platform,Neutral,3,4.4,7.8,product_bug
TCK-1209,2026-04-17,Summit Legal,Mid-Market,Pro,$50K-$100K,High,Closed,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Analytics,Very Negative,1,5.5,29.3,product_bug
TCK-1210,2026-05-03,HarborCloud,Enterprise,Enterprise,$250K-$500K,High,Closed,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Analytics,Neutral,3,1.5,59.3,product_bug
TCK-1211,2026-01-29,Finchly,SMB,Starter,<$25K,Medium,Open,Chat,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Product,Neutral,3,3.9,39.8,feature_request
TCK-1212,2026-05-01,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Closed,Slack Connect,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Integrations,Neutral,3,4.8,52.8,human_required
TCK-1213,2026-02-14,OrbitOps,Mid-Market,Growth,$100K-$250K,Low,Closed,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Billing,Positive,4,5.0,62.4,bot_solvable
TCK-1214,2026-03-05,Finchly,SMB,Starter,<$25K,High,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Integrations,Negative,2,8.5,91.0,human_required
TCK-1215,2026-05-06,HarborCloud,Enterprise,Enterprise,$250K-$500K,High,Closed,Slack Connect,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Core Platform,Negative,2,2.7,51.7,product_bug
TCK-1216,2026-02-07,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Open,Portal,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Automation,Negative,2,3.2,41.5,human_required
TCK-1217,2026-02-21,HarborCloud,Enterprise,Enterprise,$250K-$500K,Medium,In Progress,Chat,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Integrations,Positive,5,6.3,19.6,human_required
TCK-1218,2026-05-16,LumaHR,Mid-Market,Pro,$50K-$100K,High,Closed,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Analytics,Very Negative,1,1.1,30.2,product_bug
TCK-1219,2026-02-05,Acme Finance,Enterprise,Enterprise,$500K+,High,Escalated,Slack Connect,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Security,Negative,2,3.8,82.5,bot_solvable
TCK-1220,2026-03-15,Atlas Security,Enterprise,Enterprise,$500K+,Medium,In Progress,Chat,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Security,Negative,2,8.2,17.5,bot_solvable
TCK-1221,2026-01-10,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Closed,Slack Connect,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Onboarding,Neutral,3,8.4,13.4,bot_solvable
TCK-1222,2026-03-16,Atlas Security,Enterprise,Enterprise,$500K+,Critical,Open,Slack Connect,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Core Platform,Very Negative,1,8.4,37.9,product_bug
TCK-1223,2026-05-07,Summit Legal,Mid-Market,Pro,$50K-$100K,Critical,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Integrations,Negative,2,2.6,70.9,human_required
TCK-1224,2026-03-07,BrightCart,Mid-Market,Growth,$100K-$250K,Low,In Progress,Chat,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Onboarding,Positive,4,7.2,55.8,bot_solvable
TCK-1225,2026-04-14,BrightCart,Mid-Market,Growth,$100K-$250K,Medium,Closed,Chat,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Security,Negative,2,3.7,13.5,bot_solvable
TCK-1226,2026-03-05,Atlas Security,Enterprise,Enterprise,$500K+,Critical,In Progress,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Core Platform,Very Negative,1,4.1,28.0,product_bug
TCK-1227,2026-01-03,Evergreen Health,Enterprise,Enterprise,$250K-$500K,High,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Integrations,Negative,2,0.7,12.4,human_required
TCK-1228,2026-05-09,BrightCart,Mid-Market,Growth,$100K-$250K,Medium,Closed,Chat,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Billing,Neutral,3,3.4,23.5,bot_solvable
TCK-1229,2026-04-06,Atlas Security,Enterprise,Enterprise,$500K+,Medium,Closed,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Analytics,Positive,4,6.9,74.7,product_bug
TCK-1230,2026-01-21,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Closed,Email,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Security,Positive,4,0.9,49.2,bot_solvable
TCK-1231,2026-02-21,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Open,Slack Connect,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Product,Positive,5,4.1,61.9,feature_request
TCK-1232,2026-04-25,Acme Finance,Enterprise,Enterprise,$500K+,High,Closed,Slack Connect,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Automation,Positive,4,3.9,52.1,human_required
TCK-1233,2026-01-06,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,In Progress,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Automation,Negative,2,6.8,56.2,human_required
TCK-1234,2026-01-17,Nimbus Retail,SMB,Pro,$25K-$50K,High,Escalated,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Billing,Very Negative,1,8.9,49.6,bot_solvable
TCK-1235,2026-02-04,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,In Progress,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Analytics,Positive,4,4.1,81.3,product_bug
TCK-1236,2026-05-19,Nimbus Retail,SMB,Pro,$25K-$50K,High,Closed,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Analytics,Negative,2,1.2,84.6,product_bug
TCK-1237,2026-02-27,OrbitOps,Mid-Market,Growth,$100K-$250K,Critical,Closed,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Analytics,Negative,2,4.3,65.3,product_bug
TCK-1238,2026-02-28,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Closed,Email,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Billing,Neutral,3,2.6,81.5,bot_solvable
TCK-1239,2026-04-18,Northstar Analytics,Enterprise,Enterprise,$500K+,Medium,Closed,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Automation,Negative,2,2.3,9.8,human_required
TCK-1240,2026-01-13,Atlas Security,Enterprise,Enterprise,$500K+,High,Closed,Email,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Security,Neutral,3,4.1,50.4,bot_solvable
TCK-1241,2026-03-16,BrightCart,Mid-Market,Growth,$100K-$250K,Critical,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Integrations,Neutral,3,3.0,54.0,human_required
TCK-1242,2026-02-06,LumaHR,Mid-Market,Pro,$50K-$100K,Medium,Closed,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Core Platform,Positive,4,2.8,9.8,product_bug
TCK-1243,2026-05-23,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,Open,Portal,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Security,Neutral,3,8.5,65.6,bot_solvable
TCK-1244,2026-02-08,HarborCloud,Enterprise,Enterprise,$250K-$500K,Medium,In Progress,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Billing,Positive,5,4.4,76.0,bot_solvable
TCK-1245,2026-04-29,HarborCloud,Enterprise,Enterprise,$250K-$500K,Critical,Closed,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Analytics,Negative,2,5.1,18.1,product_bug
TCK-1246,2026-01-21,Evergreen Health,Enterprise,Enterprise,$250K-$500K,High,Closed,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Core Platform,Very Negative,1,4.9,74.9,product_bug
TCK-1247,2026-01-11,Evergreen Health,Enterprise,Enterprise,$250K-$500K,High,In Progress,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Billing,Positive,4,6.6,54.4,bot_solvable
TCK-1248,2026-03-27,LumaHR,Mid-Market,Pro,$50K-$100K,Medium,Escalated,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Automation,Negative,2,2.1,19.7,human_required
